Algorithm, Descending?, n, Runtime (s), SOL, OPT, SOL/OPT,Epsilon
ptas_awfd, True,100000,6.402004,62428,49836,1.252669,0.5
ptas_awfd, True,100000,6.427902,62720,50124,1.251297,0.5
ptas_awfd, True,100000,6.473038,62563,49913,1.253441,0.5
ptas_awfd, True,100000,6.551995,62893,50098,1.255399,0.5
ptas_awfd, True,100000,6.445691,62694,50030,1.253128,0.5
ptas_awfd, True,100000,6.498979,62798,50112,1.253153,0.5
ptas_awfd, True,100000,6.519439,62702,50051,1.252762,0.5
ptas_awfd, True,100000,6.457239,62527,49914,1.252695,0.5
ptas_awfd, True,100000,6.482449,62742,50137,1.251411,0.5
ptas_awfd, True,100000,6.534224,62583,50019,1.251185,0.5
ptas_awfd, True,100000,6.535923,62554,49900,1.253587,0.5
ptas_awfd, True,100000,6.509804,62663,50030,1.252508,0.5
ptas_awfd, True,100000,6.471022,62750,50108,1.252295,0.5
ptas_awfd, True,100000,6.472243,62504,49845,1.253967,0.5
ptas_awfd, True,100000,6.515079,62819,50112,1.253572,0.5
ptas_awfd, True,100000,6.450257,62744,50091,1.2526,0.5
ptas_awfd, True,100000,6.481664,62549,49903,1.253412,0.5
ptas_awfd, True,100000,6.487759,62612,50018,1.251789,0.5
ptas_awfd, True,100000,6.45797,62604,49979,1.252606,0.5
ptas_awfd, True,100000,6.452961,62818,50060,1.254854,0.5
ptas_awfd, True,100000,6.416261,62407,49830,1.252398,0.5
ptas_awfd, True,100000,6.484216,62588,50014,1.25141,0.5
ptas_awfd, True,100000,6.534601,62454,49867,1.252411,0.5
ptas_awfd, True,100000,6.519517,62740,50076,1.252896,0.5
ptas_awfd, True,100000,6.468857,62628,49995,1.252685,0.5
ptas_awfd, True,100000,6.479797,62536,49919,1.252749,0.5
ptas_awfd, True,100000,6.495505,62755,50039,1.254122,0.5
ptas_awfd, True,100000,6.45173,62744,50060,1.253376,0.5
ptas_awfd, True,100000,6.509327,62849,50172,1.252671,0.5
ptas_awfd, True,100000,6.451759,62838,50200,1.251753,0.5
ptas_awfd, True,100000,6.604311,56600,50200,1.12749,0.25
ptas_awfd, True,100000,6.723689,56190,49825,1.127747,0.25
ptas_awfd, True,100000,6.820184,56288,49890,1.128242,0.25
ptas_awfd, True,100000,6.695643,56469,50075,1.127688,0.25
ptas_awfd, True,100000,6.603498,56322,49941,1.127771,0.25
ptas_awfd, True,100000,6.771458,56357,50057,1.125857,0.25
ptas_awfd, True,100000,6.701254,56420,50050,1.127273,0.25
ptas_awfd, True,100000,6.622786,56462,49937,1.130665,0.25
ptas_awfd, True,100000,6.80247,56250,49999,1.125023,0.25
ptas_awfd, True,100000,6.629757,56369,49949,1.128531,0.25
ptas_awfd, True,100000,6.690647,56563,50045,1.130243,0.25
ptas_awfd, True,100000,6.624362,56623,50139,1.12932,0.25
ptas_awfd, True,100000,6.789051,56517,50007,1.130182,0.25
ptas_awfd, True,100000,6.672585,56440,50011,1.128552,0.25
ptas_awfd, True,100000,6.646628,56601,50128,1.129129,0.25
ptas_awfd, True,100000,6.760126,56288,49938,1.127158,0.25
ptas_awfd, True,100000,6.655041,56365,49978,1.127796,0.25
ptas_awfd, True,100000,6.667256,56362,49957,1.12821,0.25
ptas_awfd, True,100000,6.760888,56491,49985,1.130159,0.25
ptas_awfd, True,100000,6.778048,56161,49854,1.126509,0.25
ptas_awfd, True,100000,6.666029,56230,49941,1.125929,0.25
ptas_awfd, True,100000,6.677498,56352,49922,1.128801,0.25
ptas_awfd, True,100000,6.77817,56420,49947,1.129597,0.25
ptas_awfd, True,100000,6.73637,56347,50008,1.12676,0.25
ptas_awfd, True,100000,6.656976,56335,49931,1.128257,0.25
